NO,SAMPLE_ID,식품코드,DB군,식품명,연도,지역 / 제조사,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g),나트륨(㎎),콜레스테롤(㎎),총 포화 지방산(g),트랜스 지방산(g),성분표출처
1,D000006-94-AVG,D000006,음식,꿩불고기,2019,충주,500,368.8,33.5,8.5,39.7,16.9,1264.31,106.18,1.9,0.1,외식영양성분자료집 통합본(2012-2017년)
2,D000007-ZZ-AVG,D000007,음식,닭갈비,2019,전국(대표),400,595.61,45.9,25.8,44.9,21.2,1535.83,193.4,6,0.2,외식영양성분자료집 통합본(2012-2017년)
3,D000008-66-AVG,D000008,음식,닭갈비,2019,춘천,300,558.47,45.5,31.6,23.1,8.5,1016.94,217.67,11.3,0.3,외식영양성분자료집 통합본(2012-2017년)
4,D000009-ZZ-AVG,D000009,음식,닭꼬치,2019,전국(대표),70,176.72,11.56,8.57,13.35,3.15,286.91,31.44,2.32,0.04,외식영양성분자료집 통합본(2012-2017년)
5,D000010-ZZ-AVG,D000010,음식,더덕구이,2019,전국(대표),100,184,3.1,5.2,31.1,11.6,743.37,0.12,0.8,0,외식영양성분자료집 통합본(2012-2017년)
6,D000012-95-AVG,D000012,음식,돼지갈비,2019,서울특별시 마포구,100,240.32,19.5,14.4,8.1,4.5,404.66,49.34,4.7,0.1,외식영양성분자료집 통합본(2012-2017년)
7,D000016-96-AVG,D000016,음식,불고기,2019,광양,150,395.29,34.4,25.2,7.8,7.9,560.71,68.85,6.6,0.4,외식영양성분자료집 통합본(2012-2017년)
8,D000017-05-AVG,D000017,음식,붕장어소금구이,2019,고흥,100,296.54,26,16.2,11.6,0.4,124.75,167.07,3.6,0.2,외식영양성분자료집 통합본(2012-2017년)
9,D000020-ZZ-AVG,D000020,음식,소양념갈비구이,2019,전국(대표),300,989.15,60.1,71.6,26.2,13.9,1378.45,186.63,27.2,3.5,외식영양성분자료집 통합본(2012-2017년)
10,D000021-97-AVG,D000021,음식,양념왕갈비,2019,수원,150,480.81,27.1,35.3,13.7,6.8,548.76,58.52,13,2.2,외식영양성분자료집 통합본(2012-2017년)
11,D000022-ZZ-AVG,D000022,음식,양념장어구이,2019,전국(대표),150,433.35,30.77,30.56,8.8,4.18,704.64,215.24,7.1,0.27,외식영양성분자료집 통합본(2012-2017년)
12,D000023-ZZ-AVG,D000023,음식,임연수구이,2019,전국(대표),250,494,53.8,29.4,3.5,0,1568.96,212.61,6.1,1.7,외식영양성분자료집 통합본(2012-2017년)
13,D000025-ZZ-AVG,D000025,음식,햄버그스테이크,2019,전국(대표),200,457.7,26.96,29.65,20.76,5.33,950.22,70.28,9.41,0.31,외식영양성분자료집 통합본(2012-2017년)
14,D000026-ZZ-AVG,D000026,음식,황태구이,2019,전국(대표),200,437.57,47.8,15.4,26.9,14.2,1135.33,211.58,2.4,0.1,외식영양성분자료집 통합본(2012-2017년)
15,D000027-ZZ-AVG,D000027,음식,훈제오리,2019,전국(대표),250,797.14,43.06,64.07,12.08,0.27,1220.37,171,15.98,0.39,외식영양성분자료집 통합본(2012-2017년)
16,D000028-68-AVG,D000028,음식,게국지,2019,태안,1100,415.25,44.9,12.1,31.7,10.8,4047.26,388.15,2,0.2,외식영양성분자료집 통합본(2012-2017년)
17,D000029-98-AVG,D000029,음식,곰치국,2019,삼척,1000,419.29,54.3,11.8,23.9,2.8,3802.06,476.47,1.4,0.1,외식영양성분자료집 통합본(2012-2017년)
18,D000030-ZZ-AVG,D000030,음식,굴국밥,2019,전국(대표),650,683,42.4,17.8,88.4,0.3,1635.39,518.37,3.9,0.1,외식영양성분자료집 통합본(2012-2017년)
19,D000032-ZZ-AVG,D000032,음식,김치국,2019,전국(대표),450,89,5.4,2.8,10.5,2.9,1642.08,0,0.3,0,외식영양성분자료집 통합본(2012-2017년)
20,D000036-ZZ-AVG,D000036,음식,떡만둣국,2019,전국(대표),700,624.92,20.06,11.32,110.71,0.16,1980.19,122.42,3.44,0.08,외식영양성분자료집 통합본(2012-2017년)
21,D000037-ZZ-AVG,D000037,음식,만둣국,2019,전국(대표),700,434.05,21.43,17.44,47.83,3.05,2367.99,94.52,4.24,0.05,외식영양성분자료집 통합본(2012-2017년)
22,D000038-ZZ-AVG,D000038,음식,맑은감자국,2019,전국(대표),700,221,8.3,5.5,34.6,5.2,1712.29,5.46,0.2,0,외식영양성분자료집 통합본(2012-2017년)
23,D000039-99-AVG,D000039,음식,매생이국,2019,장흥,500,119,10,2.8,13.4,0.4,1420.3,6.62,0.6,0.1,외식영양성분자료집 통합본(2012-2017년)
24,D000040-ZZ-AVG,D000040,음식,무된장국,2019,전국(대표),450,104,6.1,2.4,14.7,5.9,1741.46,0,0.3,0,외식영양성분자료집 통합본(2012-2017년)
25,D000041-ZZ-AVG,D000041,음식,미소된장국,2019,전국(대표),150,38,2.8,1.8,2.8,0.7,517.03,0,0.2,0,외식영양성분자료집 통합본(2012-2017년)
26,D000044-ZZ-AVG,D000044,음식,바지락조개국,2019,전국(대표),550,157,22,3.1,10.1,1.3,1596.17,89.36,0.6,0,외식영양성분자료집 통합본(2012-2017년)
27,D000046-ZZ-AVG,D000046,음식,뼈다귀해장국,2019,전국(대표),1000,714,74.6,35.7,23.4,5.7,3088.21,321.72,14.3,0.1,외식영양성분자료집 통합본(2012-2017년)
28,D000047-ZZ-AVG,D000047,음식,선지해장국,2019,전국(대표),1000,312,49.3,5.4,16.7,3.9,3074.53,230.52,2.7,0.1,외식영양성분자료집 통합본(2012-2017년)
29,D000049-ZZ-AVG,D000049,음식,소고기무국,2019,전국(대표),400,123,14.2,4,7.8,3.5,1067.02,38.43,1.3,0.1,외식영양성분자료집 통합본(2012-2017년)
30,D000054-ZZ-AVG,D000054,음식,시래기된장국,2019,전국(대표),450,99,6.7,3.1,11,1.3,1523.66,0,0.3,0,외식영양성분자료집 통합본(2012-2017년)
31,D000060-101-AVG,D000060,음식,올갱이국,2019,괴산,600,144.26,13.7,4.2,13,1.6,2017.16,85.36,0.8,0,외식영양성분자료집 통합본(2012-2017년)
32,D000062-ZZ-AVG,D000062,음식,우거지해장국,2019,전국(대표),600,154.38,11.9,5.9,13.5,2.5,2049.59,22.37,1.2,0,외식영양성분자료집 통합본(2012-2017년)
33,D000063-ZZ-AVG,D000063,음식,우렁된장국,2019,전국(대표),500,245,24.6,7.7,19.2,3.6,2134.21,105.38,1.1,0,외식영양성분자료집 통합본(2012-2017년)
34,D000066-ZZ-AVG,D000066,음식,홍합미역국,2019,전국(대표),650,167,19.7,4.7,11.6,0,2043.68,58.4,0.9,0,외식영양성분자료집 통합본(2012-2017년)
35,D000067-ZZ-AVG,D000067,음식,황태해장국,2019,전국(대표),600,181.7,24.5,6.8,5.7,1.5,1533.09,150.3,1.1,0,외식영양성분자료집 통합본(2012-2017년)
36,D000068-ZZ-AVG,D000068,음식,고추잡채,2019,전국(대표),200,256.77,10.99,12.01,26.17,2.09,828.55,39.26,2.11,0.08,외식영양성분자료집 통합본(2012-2017년)
37,D000070-ZZ-AVG,D000070,음식,난자완스,2019,전국(대표),200,346.25,21.63,20.35,19.15,0.49,703.23,76.76,4.59,0.23,외식영양성분자료집 통합본(2012-2017년)
38,D000071-26-AVG,D000071,음식,도토리묵말이,2019,대전,1300,462.39,6.8,8.5,89.7,6.3,3206.03,0,1.2,0,외식영양성분자료집 통합본(2012-2017년)
39,D000072-ZZ-AVG,D000072,음식,라조기,2019,전국(대표),200,398.99,20.66,23.49,26.23,0.15,648.52,90.58,5.15,0.15,외식영양성분자료집 통합본(2012-2017년)
40,D000074-72-AVG,D000074,음식,물회,2019,포항,700,529.36,34.4,18.9,55.3,20,2095.9,120.26,2.8,0.1,외식영양성분자료집 통합본(2012-2017년)
41,D000075-ZZ-AVG,D000075,음식,생선물회,2019,전국(대표),800,577.97,34.3,12.3,82.5,52,2779.74,101.88,2,0,외식영양성분자료집 통합본(2012-2017년)
42,D000076-ZZ-AVG,D000076,음식,소고기샤브샤브,2019,전국(대표),600,263.75,29.1,9.8,14.7,2.4,1122.4,76.02,3.7,0.3,외식영양성분자료집 통합본(2012-2017년)
43,D000079-39-AVG,D000079,음식,오징어순대,2019,속초,350,466.86,45.7,5.6,58.3,0.4,1258.71,517.44,1.4,0,외식영양성분자료집 통합본(2012-2017년)
44,D000081-01-AVG,D000081,음식,초당순두부,2019,강릉,900,522.69,49.1,29.2,15.8,0.9,1203.36,0,3.8,0,외식영양성분자료집 통합본(2012-2017년)
45,D000085-ZZ-AVG,D000085,음식,해파리냉채,2019,전국(대표),150,91,6.2,1.4,13.4,11.4,508.77,40.33,0.3,0,외식영양성분자료집 통합본(2012-2017년)
46,D000087-ZZ-AVG,D000087,음식,고들빼기,2019,전국(대표),50,55.53,1.58,0.61,10.93,2.84,742.43,2.98,0.07,0,외식영양성분자료집 통합본(2012-2017년)
47,D000097-ZZ-AVG,D000097,음식,열무얼갈이김치,2019,전국(대표),50,17.68,1.07,0.33,2.61,0.46,339.9,1.03,0.04,0,외식영양성분자료집 통합본(2012-2017년)
48,D000105-ZZ-AVG,D000105,음식,미나리나물,2019,전국(대표),50,29.53,1.02,1.83,2.24,0,150.33,0,0.25,0.01,외식영양성분자료집 통합본(2012-2017년)
49,D000109-ZZ-AVG,D000109,음식,취나물,2019,전국(대표),50,74.1,1.37,6.15,3.31,0,281.86,0,0.84,0.03,외식영양성분자료집 통합본(2012-2017년)
50,D000112-ZZ-AVG,D000112,음식,경단(깨),2019,전국(대표),100,319.47,4.44,0.54,74.22,26.64,180,0,0.46,0,외식영양성분자료집 통합본(2012-2017년)
51,D000113-ZZ-AVG,D000113,음식,경단(콩),2019,전국(대표),100,314.32,3.51,0.46,74.03,20.55,225.83,0,0.19,0,외식영양성분자료집 통합본(2012-2017년)
52,D000114-ZZ-AVG,D000114,음식,기피편,2019,전국(대표),100,219.97,5.45,0.25,48.99,2.08,281.06,0,0.13,0,외식영양성분자료집 통합본(2012-2017년)
53,D000116-ZZ-AVG,D000116,음식,녹두시루떡,2019,전국(대표),100,246.07,7.74,2.53,48.08,4.05,263.66,0,0.52,0,외식영양성분자료집 통합본(2012-2017년)
54,D000117-ZZ-AVG,D000117,음식,메밀전병,2019,전국(대표),100,167.83,6.18,6.29,21.62,0.62,345.8,8.05,1.19,0.04,외식영양성분자료집 통합본(2012-2017년)
55,D000119-ZZ-AVG,D000119,음식,무지개떡,2019,전국(대표),100,228.97,3.53,0.31,53.01,8.99,276.82,0,0.16,0,외식영양성분자료집 통합본(2012-2017년)
56,D000121-ZZ-AVG,D000121,음식,송편(깨),2019,전국(대표),100,224.15,4.92,2.74,44.96,1.15,231.82,0,0.48,0,외식영양성분자료집 통합본(2012-2017년)
57,D000122-ZZ-AVG,D000122,음식,송편(콩),2019,전국(대표),100,194.33,5.24,0.75,41.66,1.26,233.5,0,0.24,0,외식영양성분자료집 통합본(2012-2017년)
58,D000123-ZZ-AVG,D000123,음식,수수부꾸미,2019,전국(대표),100,247.89,5.73,6.29,42.1,0.24,261,0,0.97,0.03,외식영양성분자료집 통합본(2012-2017년)
59,D000124-ZZ-AVG,D000124,음식,수수팥떡,2019,전국(대표),100,204.24,6.7,0.59,43.03,2.82,241.93,0,0.16,0,외식영양성분자료집 통합본(2012-2017년)
60,D000125-ZZ-AVG,D000125,음식,시루떡,2019,전국(대표),100,217.48,5.47,0.61,47.54,3.22,277.91,0,0.24,0,외식영양성분자료집 통합본(2012-2017년)
61,D000126-ZZ-AVG,D000126,음식,쑥떡,2019,전국(대표),100,248.63,3.36,0.4,57.89,10.72,254.32,0,0.2,0,외식영양성분자료집 통합본(2012-2017년)
62,D000129-ZZ-AVG,D000129,음식,절편,2019,전국(대표),100,192.89,3.64,0.28,43.94,0.07,265.87,0.03,0.19,0,외식영양성분자료집 통합본(2012-2017년)
63,D000131-ZZ-AVG,D000131,음식,찹쌀떡,2019,전국(대표),100,276.87,3.26,0.15,65.61,17.54,225.61,0,0.15,0,외식영양성분자료집 통합본(2012-2017년)
64,D000136-ZZ-AVG,D000136,음식,간자장,2019,전국(대표),650,824.54,22.33,22.03,134.22,12.16,2716.2,28.73,9.71,0.24,외식영양성분자료집 통합본(2012-2017년)
65,D000137-ZZ-AVG,D000137,음식,굴짬뽕,2019,전국(대표),900,680.67,32.87,9.6,115.69,1.7,2662.35,163.31,1.41,0.04,외식영양성분자료집 통합본(2012-2017년)
66,D000138-ZZ-AVG,D000138,음식,기스면,2019,전국(대표),1000,606.93,37.82,10.72,89.79,0.5,2764.59,416.54,2.12,0,외식영양성분자료집 통합본(2012-2017년)
67,D000139-ZZ-AVG,D000139,음식,김치라면,2019,전국(대표),650,552,13.8,16.9,86.2,1.2,2531.6,45.65,6.8,0.1,외식영양성분자료집 통합본(2012-2017년)
68,D000140-ZZ-AVG,D000140,음식,김치우동,2019,전국(대표),800,500.18,15.55,4.6,99.14,2.13,2874.6,14.13,0.83,0,외식영양성분자료집 통합본(2012-2017년)
69,D000141-ZZ-AVG,D000141,음식,냉김치말이국수,2019,전국(대표),600,302.53,12.9,4.8,52,8.3,2121.62,88.95,1.1,0,외식영양성분자료집 통합본(2012-2017년)
70,D000142-ZZ-AVG,D000142,음식,닭칼국수,2019,전국(대표),900,663,42.2,12.8,94.7,5.3,2125.17,95.67,2.5,0,외식영양성분자료집 통합본(2012-2017년)
71,D000143-ZZ-AVG,D000143,음식,둘깨칼국수,2019,전국(대표),600,457.88,17.6,16.5,59.8,1.4,1192.57,3.36,1.5,0,외식영양성분자료집 통합본(2012-2017년)
72,D000147-102-AVG,D000147,음식,막국수,2019,평창,1000,571.59,20,5.8,109.8,9.4,3260.05,43.17,1,0,외식영양성분자료집 통합본(2012-2017년)
73,D000152-ZZ-AVG,D000152,음식,삼선우동,2019,전국(대표),1000,691.66,47.94,8.48,105.9,0.8,2722.32,620.9,2.02,0,외식영양성분자료집 통합본(2012-2017년)
74,D000153-ZZ-AVG,D000153,음식,삼선자장면,2019,전국(대표),700,803.9,33.64,18.14,126.53,10.15,2628.24,166.56,4.06,0.09,외식영양성분자료집 통합본(2012-2017년)
75,D000154-ZZ-AVG,D000154,음식,삼선짬뽕,2019,전국(대표),900,662.37,39.63,10.77,101.73,1.09,2689.13,312.48,1.91,0.02,외식영양성분자료집 통합본(2012-2017년)
76,D000156-ZZ-AVG,D000156,음식,쌀국수,2019,전국(대표),600,320.32,15.6,4.2,55.1,4.3,1651.58,33.6,1.4,0.1,외식영양성분자료집 통합본(2012-2017년)
77,D000157-ZZ-AVG,D000157,음식,열무김치국수,2019,전국(대표),800,431,15,10.2,69.6,18.6,3007.45,15.37,0.6,0.1,외식영양성분자료집 통합본(2012-2017년)
78,D000158-ZZ-AVG,D000158,음식,열무냉면,2019,전국(대표),800,525.49,20.84,5.78,97.52,27.15,3152.37,67.78,1.36,0,외식영양성분자료집 통합본(2012-2017년)
79,D000159-ZZ-AVG,D000159,음식,오일소스스파게티,2019,전국(대표),400,646.74,19.56,23.43,89.42,1.41,1124.33,31.62,3.89,0.05,외식영양성분자료집 통합본(2012-2017년)
80,D000160-103-AVG,D000160,음식,올갱이국수,2019,정선,1500,566,11.2,8.3,111.6,18.6,3862.84,0,1.5,0,외식영양성분자료집 통합본(2012-2017년)
81,D000161-ZZ-AVG,D000161,음식,우동(일식),2019,전국(대표),700,421.51,13.39,7.91,74.2,2.48,2390.32,25.98,1.49,0.01,외식영양성분자료집 통합본(2012-2017년)
82,D000162-ZZ-AVG,D000162,음식,우동(중식),2019,전국(대표),1000,648.47,29.45,21.02,85.37,1.1,3395.86,208.42,3.35,0.03,외식영양성분자료집 통합본(2012-2017년)
83,D000163-ZZ-AVG,D000163,음식,울면,2019,전국(대표),1000,728.86,37.46,7.37,128.18,0.5,2799.92,445.79,1.85,0.01,외식영양성분자료집 통합본(2012-2017년)
84,D000164-ZZ-AVG,D000164,음식,자장면,2019,전국(대표),650,796.5,19.77,20.32,133.63,7.8,2391.58,10.76,8.52,0.17,외식영양성분자료집 통합본(2012-2017년)
85,D000167-ZZ-AVG,D000167,음식,짬뽕라면,2019,전국(대표),750,689,21.3,26.3,92,1.6,2493.81,106.69,8.6,0.1,외식영양성분자료집 통합본(2012-2017년)
86,D000169-ZZ-AVG,D000169,음식,치즈라면,2019,전국(대표),600,595,16.8,23,80,0.9,2113.4,103.67,9.4,0.2,외식영양성분자료집 통합본(2012-2017년)
87,D000171-ZZ-AVG,D000171,음식,크림소스스파게티,2019,전국(대표),400,837.57,21.79,50.59,73.76,9.17,1030.21,126.58,25.67,1.01,외식영양성분자료집 통합본(2012-2017년)
88,D000172-ZZ-AVG,D000172,음식,토마토소스스파게티,2019,전국(대표),500,642.58,24.35,19.15,93.2,15.6,1508.63,49.17,5.44,0.21,외식영양성분자료집 통합본(2012-2017년)
89,D000173-ZZ-AVG,D000173,음식,해물칼국수,2019,전국(대표),900,628.26,22.8,4.61,123.9,3.81,2355.07,26.7,1.3,0.01,외식영양성분자료집 통합본(2012-2017년)
90,D000174-ZZ-AVG,D000174,음식,해물크림소스스파게티,2019,전국(대표),500,917.57,30.39,49.79,86.97,8.36,1323.7,210.89,24.73,0.94,외식영양성분자료집 통합본(2012-2017년)
91,D000175-ZZ-AVG,D000175,음식,해물토마토소스스파게티,2019,전국(대표),500,584.44,27.97,13.73,87.24,13.48,1533.16,159.64,3.14,0.07,외식영양성분자료집 통합본(2012-2017년)
92,D000178-ZZ-AVG,D000178,음식,골뱅이무침,2019,전국(대표),100,108.79,7.08,1.97,15.69,10.46,525.52,38.35,0.26,0.02,외식영양성분자료집 통합본(2012-2017년)
93,D000180-ZZ-AVG,D000180,음식,노각무침,2019,전국(대표),150,84,2.6,1.8,14.3,7.1,817.37,0,0.2,0,외식영양성분자료집 통합본(2012-2017년)
94,D000181-ZZ-AVG,D000181,음식,단무지무침,2019,전국(대표),50,20,0.5,0.8,2.8,0.7,428.92,0,0.1,0,외식영양성분자료집 통합본(2012-2017년)
95,D000182-ZZ-AVG,D000182,음식,달래나물무침,2019,전국(대표),150,136,4,2.8,23.8,11.2,867.04,0,0.3,0,외식영양성분자료집 통합본(2012-2017년)
96,D000183-ZZ-AVG,D000183,음식,더덕무침,2019,전국(대표),150,216,4.3,2.8,43.4,20.2,1246.58,0.17,0.4,0,외식영양성분자료집 통합본(2012-2017년)
97,D000185-ZZ-AVG,D000185,음식,도토리묵,2019,전국(대표),100,45.6,0.29,0.32,10.38,0.43,124.15,0,0.03,0,외식영양성분자료집 통합본(2012-2017년)
98,D000190-55-AVG,D000190,음식,밴댕이무침,2019,인천,400,600.01,29.8,33,46,27,1027.23,101.51,4.6,0.2,외식영양성분자료집 통합본(2012-2017년)
99,D000194-45-AVG,D000194,음식,서대회무침,2019,여수,300,315.21,22.6,4.6,45.9,22.3,1198.9,67.71,0.5,0,외식영양성분자료집 통합본(2012-2017년)
100,D000195-ZZ-AVG,D000195,음식,쑥갓나물무침,2019,전국(대표),150,96,4.5,5.7,6.6,0.3,709.99,0.05,0.7,0,외식영양성분자료집 통합본(2012-2017년)
101,D000200-ZZ-AVG,D000200,음식,쥐치채,2019,전국(대표),20,55.92,2.75,0.15,10.89,4.55,296.34,8.57,0.19,0.01,외식영양성분자료집 통합본(2012-2017년)
102,D000201-ZZ-AVG,D000201,음식,청포묵무침,2019,전국(대표),250,149,2.9,5.2,22.7,1.8,724.02,0,0.8,0,외식영양성분자료집 통합본(2012-2017년)
103,D000202-ZZ-AVG,D000202,음식,탕평채,2019,전국(대표),100,97.5,3.55,3.81,12.26,0.39,260.4,47.24,0.73,0.03,외식영양성분자료집 통합본(2012-2017년)
104,D000205-ZZ-AVG,D000205,음식,홍어무침,2019,전국(대표),200,198.94,17.85,2.63,25.95,14.46,802.04,57.03,0.36,0,외식영양성분자료집 통합본(2012-2017년)
105,D000206-ZZ-AVG,D000206,음식,고추장불고기 삼각김밥,2019,전국(대표),100,165.29,3.66,1.58,34.11,0.21,342.92,3.51,0.45,0.01,외식영양성분자료집 통합본(2012-2017년)
106,D000207-103-AVG,D000207,음식,곤드레나물밥,2019,정선,350,521.83,10.3,9.5,98.9,0,90.62,0,0.9,0,외식영양성분자료집 통합본(2012-2017년)
107,D000208-104-AVG,D000208,음식,국밥,2019,안성,800,418.35,27.6,8.2,58.6,0.4,2301.55,47.81,2.7,0.2,외식영양성분자료집 통합본(2012-2017년)
108,D000212-ZZ-AVG,D000212,음식,농어초밥,2019,전국(대표),250,396.74,17.43,1.34,78.75,13.01,1035.04,26.5,0.65,0.02,외식영양성분자료집 통합본(2012-2017년)
109,D000213-105-AVG,D000213,음식,돼지국밥,2019,밀양,1200,911.4,66.4,38.6,74.7,0,1096.58,142.55,8.4,0.2,외식영양성분자료집 통합본(2012-2017년)
110,D000214-ZZ-AVG,D000214,음식,류산슬덮밥,2019,전국(대표),550,574.99,26.96,19.04,73.95,0.42,1579.35,120.87,3.39,0.11,외식영양성분자료집 통합본(2012-2017년)
111,D000215-02-AVG,D000215,음식,멍게비빔밥,2019,거제,400,547.21,16.6,13.1,90.7,16.7,1144.8,21.9,2.4,0.1,외식영양성분자료집 통합본(2012-2017년)
112,D000216-ZZ-AVG,D000216,음식,멸치주먹밥,2019,전국(대표),150,312,9,6.6,54.3,0.9,496.21,42.45,1.1,0,외식영양성분자료집 통합본(2012-2017년)
113,D000217-106-AVG,D000217,음식,묵밥,2019,영주,950,642.16,14.8,7.7,128.6,15.1,2075.5,42.65,1.5,0,외식영양성분자료집 통합본(2012-2017년)
114,D000218-ZZ-AVG,D000218,음식,문어초밥,2019,전국(대표),250,392.23,14.61,0.74,81.78,13.38,1200.86,70.08,0.35,0,외식영양성분자료집 통합본(2012-2017년)
115,D000222-107-AVG,D000222,음식,비빔밥,2019,전주,450,691.62,24.6,22,98.7,18.3,1119.66,95.42,3.9,0.1,외식영양성분자료집 통합본(2012-2017년)
116,D000223-ZZ-AVG,D000223,음식,삼선볶음밥,2019,전국(대표),400,686.11,26.24,26.46,85.75,1.58,1213.56,326.52,6.33,0.15,외식영양성분자료집 통합본(2012-2017년)
117,D000225-ZZ-AVG,D000225,음식,새우초밥,2019,전국(대표),250,387.67,16.8,0.75,78.42,11.65,1110.29,72.65,0.55,0.01,외식영양성분자료집 통합본(2012-2017년)
118,D000226-ZZ-AVG,D000226,음식,새우튀김롤,2019,전국(대표),300,606.5,14.47,18.17,96.28,11.14,1391.43,55.87,3.41,0.12,외식영양성분자료집 통합본(2012-2017년)
119,D000227-ZZ-AVG,D000227,음식,샐러드김밥,2019,전국(대표),250,405.95,9.62,13.52,61.45,3.42,911.18,84.58,2.79,0.06,외식영양성분자료집 통합본(2012-2017년)
120,D000228-ZZ-AVG,D000228,음식,생선초밥(광어),2019,전국(대표),300,453.78,27.07,3.92,77.55,7.7,808.75,46.74,1.06,0.02,외식영양성분자료집 통합본(2012-2017년)
121,D000229-ZZ-AVG,D000229,음식,생선초밥(모듬),2019,전국(대표),300,461.97,25.42,6.06,76.43,8.65,968.94,70.87,1.51,0.04,외식영양성분자료집 통합본(2012-2017년)
122,D000230-ZZ-AVG,D000230,음식,소고기국밥,2019,전국(대표),700,330.53,21.8,8.1,42.6,2.8,1786.31,41.85,2.3,0.1,외식영양성분자료집 통합본(2012-2017년)
123,D000231-ZZ-AVG,D000231,음식,소고기김밥,2019,전국(대표),250,400.61,15.98,9.63,62.52,0.84,1061.19,93.09,2.53,0.11,외식영양성분자료집 통합본(2012-2017년)
124,D000232-ZZ-AVG,D000232,음식,송이덮밥,2019,전국(대표),600,581.81,18.21,14.06,95.6,2.27,1678.01,48.2,2.79,0.1,외식영양성분자료집 통합본(2012-2017년)
125,D000233-ZZ-AVG,D000233,음식,숯불갈비 삼각김밥,2019,전국(대표),100,161.24,4,1.67,32.55,0.16,358.36,4.04,0.53,0.02,외식영양성분자료집 통합본(2012-2017년)
126,D000235-117-AVG,D000235,음식,약초비빔밥,2019,산청,400,511.8,11.9,15.9,80.2,2.9,971.61,0,2.4,0.1,외식영양성분자료집 통합본(2012-2017년)
127,D000236-ZZ-AVG,D000236,음식,연어롤,2019,전국(대표),300,510.19,18.57,15.4,74.32,8.47,1211.9,61.97,2.83,0.1,외식영양성분자료집 통합본(2012-2017년)
128,D000237-ZZ-AVG,D000237,음식,연어초밥,2019,전국(대표),250,447.32,18.88,9.74,71.04,12.88,1064.38,32.05,1.84,0.06,외식영양성분자료집 통합본(2012-2017년)
129,D000238-ZZ-AVG,D000238,음식,오곡밥,2019,전국(대표),250,388.82,11.95,1.3,82.32,0.17,113.9,0,0.42,0,외식영양성분자료집 통합본(2012-2017년)
130,D000243-ZZ-AVG,D000243,음식,자장밥,2019,전국(대표),500,741.66,15.24,22.28,120.06,5.37,1560.38,26.43,8.56,0.16,외식영양성분자료집 통합본(2012-2017년)
131,D000245-ZZ-AVG,D000245,음식,잡탕밥,2019,전국(대표),750,777.44,44.12,20.13,104.94,0.48,2109.52,329.85,4.07,0.12,외식영양성분자료집 통합본(2012-2017년)
132,D000246-ZZ-AVG,D000246,음식,장어덮밥,2019,전국(대표),400,716.54,30.09,22.98,97.35,5.59,920.77,234.56,5.18,0.23,외식영양성분자료집 통합본(2012-2017년)
133,D000247-ZZ-AVG,D000247,음식,장어초밥,2019,전국(대표),250,486.26,16.52,10.83,80.68,13.67,1270.91,102.77,2.91,0.1,외식영양성분자료집 통합본(2012-2017년)
134,D000251-ZZ-AVG,D000251,음식,참치덮밥,2019,전국(대표),500,679.1,29.2,16.73,102.93,2.98,1618.74,115.79,3.41,0.09,외식영양성분자료집 통합본(2012-2017년)
135,D000252-ZZ-AVG,D000252,음식,참치마요네즈 삼각김밥,2019,전국(대표),100,172.4,3.94,3.2,31.95,0.02,282.1,4.41,0.6,0.01,외식영양성분자료집 통합본(2012-2017년)
136,D000253-ZZ-AVG,D000253,음식,충무김밥,2019,전국(대표),400,583.93,23.42,5.96,109.16,17.19,1294.27,156.85,1.1,0.03,외식영양성분자료집 통합본(2012-2017년)
137,D000256-ZZ-AVG,D000256,음식,캘리포니아롤,2019,전국(대표),300,487.64,12.33,9.05,89.23,8.9,1295.88,65.96,2.14,0.05,외식영양성분자료집 통합본(2012-2017년)
138,D000258-ZZ-AVG,D000258,음식,한치초밥,2019,전국(대표),250,374.18,13.71,0.85,77.92,13.13,1199.31,100.06,0.45,0,외식영양성분자료집 통합본(2012-2017년)
139,D000259-ZZ-AVG,D000259,음식,해물덮밥,2019,전국(대표),700,771.93,42.04,22.44,100.45,1.19,1802.68,286.24,5.41,0.21,외식영양성분자료집 통합본(2012-2017년)
140,D000260-ZZ-AVG,D000260,음식,해물볶음밥,2019,전국(대표),400,705.22,25.1,27,90.46,1.22,1074.35,241.8,5.38,0.15,외식영양성분자료집 통합본(2012-2017년)
141,D000261-ZZ-AVG,D000261,음식,회덮밥,2019,전국(대표),500,683.02,30.21,16.55,103.3,10.93,744.27,88.65,2.9,0.11,외식영양성분자료집 통합본(2012-2017년)
142,D000265-ZZ-AVG,D000265,음식,깻잎나물볶음,2019,전국(대표),200,206,7.5,14.4,11.5,0.6,1042.68,0,1.7,0.1,외식영양성분자료집 통합본(2012-2017년)
143,D000268-ZZ-AVG,D000268,음식,돼지고기볶음,2019,전국(대표),200,350.67,22.96,20.67,18.21,8.2,1051.76,57.87,5.12,0.15,외식영양성분자료집 통합본(2012-2017년)
144,D000269-ZZ-AVG,D000269,음식,돼지껍데기볶음,2019,전국(대표),150,352,25.8,16.7,24.5,5.5,779.81,47.75,4.9,0.1,외식영양성분자료집 통합본(2012-2017년)
145,D000270-ZZ-AVG,D000270,음식,두부김치,2019,전국(대표),250,288.21,19.47,17.11,14.08,1.49,989.69,13.92,3.17,0.07,외식영양성분자료집 통합본(2012-2017년)
